id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3601212,Jefferson School,public,"KG,1,2,3",e,Huntington,NY,11743,Huntington Union Free School District,40.848785,-73.433395,7,2020.0,28.80774106155318
3401445,Heights Elementary School,public,"PK,KG,1,2,3,4,5,UG","p,e",Oakland,NJ,07436,Oakland Public School District,41.03421,-74.225914,7,2021.0,28.83638634471274
3400702,Jackson Avenue,public,"PK,KG,1,2,3,4,UG","p,e",Hackensack,NJ,07601,Hackensack School District,40.864723,-74.040939,3,2021.0,28.843812991661178
0901823,Love Christian Academy,private,"KG,1,2,3,4,5,6,7,8","e,m",Bridgeport,CT,06607,,41.18177,-73.166481,,,28.847582238681696
3403739,Kiddie College Day Care Center,private,"PK,KG","p,e",Palisades Park,NJ,07650,,40.846752,-74.004539,,,28.847732610883963
3408727,IntelliChild Academy of Fair Lawn,private,"PK,KG","p,e",Fair Lawn,NJ,07410,,40.923832,-74.129906,,,28.853929561186575
3602078,PS 18 John Peter Zenger,public,"PK,KG,1,2,3,4,5,UG","p,e",BRONX,NY,10451,New York City Geographic District # 7,40.816284,-73.922951,2,2020.0,28.862620701654095
3618356,Brilla Vertias Charter School,charter,"KG,1",e,BRONX,NY,10451,Brilla Vertias Charter School,40.815392,-73.919952,,,28.86330421166441
3401740,Eleanor G. Hewitt,public,"4,5,UG",e,Ringwood,NJ,07456,Ringwood School District,41.120232,-74.264015,6,2021.0,28.875063690705506
0900138,Multicultural Magnet School,public,"KG,1,2,3,4,5,6,7,8","e,m",Bridgeport,CT,06610,Bridgeport School District,41.199886,-73.164993,6,2020.0,28.878217157344007
0900141,High Horizons Magnet School,public,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Bridgeport,CT,06610,Bridgeport School District,41.199886,-73.164993,5,2020.0,28.878217157344007
3606283,PS 277,public,"PK,KG,1,2,3,4,5","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.813396,-73.913788,3,2020.0,28.878310363254503
3602609,PS 194 Countee Cullen,public,"PK,KG,1,2,3,4,5,UG","p,e",New York,NY,10030,New York City Geographic District # 5,40.821236,-73.94062,1,2020.0,28.897667366746617
3607689,Harlem Village Academy West Charter School,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",New York,NY,10030,Harlem Village Academy West Charter School,40.821236,-73.94062,8,2020.0,28.897667366746617
3604284,Our Lady of Lourdes School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",New York,NY,10031,,40.823654,-73.948166,,,28.90367604111002
3400571,Memorial Middle School,public,"6,7,8,UG",m,Fair Lawn,NJ,07410,Fair Lawn Public School District,40.930534,-74.139122,6,2021.0,28.903813985857557
